Week #	Word	SAT Importance	Part of Speech	Definition (EN)	Chinese Meaning	Example Sentence	Collocations	Synonym	Antonym	Word Family	Common Trap
Week 1	conjecture	Common	noun/verb	an opinion or conclusion based on incomplete evidence	推測；臆測	Historians have long debated whether the claim is supported by evidence or mere conjecture.	mere conjecture / conjecture that	supposition	fact	conjectural (adj)	Often used to contrast evidence-based claims with unsupported assumptions.
Week 1	impartial	Core	adjective	not favoring any side; fair and unbiased	公正的；不偏不倚的	The committee was expected to remain impartial when evaluating the candidates.	impartial to / impartial toward	fair	biased	impartiality (n)	Often confused with “neutral” in tone; impartial emphasizes fairness in judgment.
Week 1	offhand	Common	adj/adv	said or done casually, without much thought or preparation	隨口的；不經意的	The author makes an offhand remark that later reveals a deeper bias.	offhand comment / offhand remark	casual	deliberate	—	Often mistaken for “rude”; offhand usually means casual, not intentionally disrespectful.
Week 1	circumvent	Common	verb	to find a way around a rule, law, or obstacle	規避；繞過	Some companies attempt to circumvent regulations through legal loopholes.	circumvent the law / circumvent regulations	evade	comply	circumvention (n)	Often implies intentional avoidance rather than accidental bypassing.
Week 1	eclipse	Common	noun/verb	to surpass or overshadow something, making it seem less important	使黯然失色；遮蔽	The artist’s later success eclipsed her early achievements.	eclipse by / eclipse overtake	surpass	be overshadowed	eclipsed (adj)	In SAT passages, the word is often metaphorical rather than astronomical.
Week 1	exemplify	Core	verb	to clearly show or be a typical example of something	例證；體現	The study exemplifies how social pressure can influence decision-making.	exemplify how / exemplify the idea	illustrate	contradict	exemplification (n)	Signals that an example is being used to support a broader claim.
Week 1	fabricate	Common	verb	to invent or create something that is untrue	捏造；編造	The journalist was accused of fabricating details to strengthen the story.	fabricate a story / fabricate evidence	invent	verify	fabrication (n)	In SAT contexts, the word usually implies dishonesty rather than physical construction.
Week 1	discernible	Common	adjective	able to be seen, noticed, or recognized	可辨識的；可察覺的	There was no discernible difference between the two experimental groups.	discernible difference / discernible change	noticeable	imperceptible	discern (v)	Often appears with negation; it does not mean obvious, only detectable.
Week 1	repudiate	Core	verb	to reject or refuse to accept something	否認；拒絕接受	The politician publicly repudiated the accusations against her.	repudiate a claim / repudiate an idea	reject	accept	repudiation (n)	Stronger than “disagree”; implies firm and often public rejection.
Week 1	proclaim	Common	verb	to announce something publicly or formally	宣布；宣告	The government proclaimed a new policy to address rising inflation.	proclaim that / proclaim independence	declare	conceal	proclamation (n)	Often signals authority or confidence rather than proof.
Week 1	foretell	Occasional	verb	to predict or indicate something in advance	預言；預示	Early warning signs foretold the economic downturn.	foretell the future / foretell events	predict	conceal	—	More literary than academic; usually easy to infer from context.
Week 1	recant	Common	verb	to take back or deny a previously stated belief or claim	撤回；否認（先前說法）	The witness later recanted her testimony under questioning.	recant a statement / recant testimony	withdraw	reaffirm	recantation (n)	Often implies loss of credibility or external pressure.
Week 1	coincide	Common	verb	to occur at the same time or align	同時發生；一致	The rise in temperatures coincided with increased energy consumption.	coincide with / coincide in	align	differ	coincidence (n)	Often used in discussions of correlation rather than causation.
Week 1	rebut	Core	verb	to argue against or disprove a claim	反駁	The researcher presented new data to rebut the opposing theory.	rebut a claim / rebut an argument	refute	support	rebuttal (n)	Stronger than “respond”; implies presenting counter-evidence.
Week 1	posit	Core	verb	to suggest or assume something as a basis for argument	假設；提出	The theory posits that social behavior is shaped by environmental factors.	posit that / posit an idea	propose	disprove	position (n)	Does not mean “prove”; it introduces an assumption or starting point.
Week 1	juvenile	Common	adjective	relating to young people or behaving in an immature way	青少年的；幼稚的	The critic dismissed the argument as juvenile and lacking serious analysis.	juvenile behavior / juvenile court	immature	mature	juvenility (n)	Can mean either “young” or “immature,” depending on context.
Week 1	skeptical	Core	adjective	doubting or not easily convinced	懷疑的	The scientist remained skeptical of the results until further evidence was provided.	skeptical of	doubtful	convinced	skepticism (n)	Does not mean negative; it means requiring sufficient evidence.
Week 1	nuance	Core	noun	a subtle difference or slight distinction	細微差別；細節差異	The author’s argument contains important nuances that are easy to overlook.	nuance of / nuanced argument	subtlety	simplicity	nuanced (adj)	Often signals complexity; lack of nuance implies oversimplification.
Week 1	observant	Common	adjective	quick to notice or pay attention to details	善於觀察的	The observant reader will detect subtle inconsistencies in the argument.	observant of	attentive	indifferent	observance (n)	Refers to careful noticing, not necessarily intelligence.
Week 1	disconcerting	Common	adjective	causing discomfort or unease	令人不安的；令人困惑的	The sudden change in tone was disconcerting to the audience.	disconcerting discovery / disconcerting shift	unsettling	reassuring	disconcert (v)	Does not mean confusing; it means emotionally unsettling.
Week 1	imperceptible	Common	adjective	so slight that it cannot be noticed	難以察覺的；幾乎感覺不到的	The temperature change was gradual and almost imperceptible.	imperceptible change / imperceptible difference	unnoticeable	discernible	imperceptibly (adv)	Often used in science passages to describe subtle shifts.
Week 1	strenuously	Common	adverb	with great effort or force	奮力地；強烈地	The scientist strenuously defended her findings against criticism.	strenuously oppose / strenuously argue	vigorously	weakly	strenuous (adj)	Signals strong effort or intensity, not necessarily anger.
Week 1	interjected	Common	verb	to interrupt with a comment	插話；打斷說	The student interjected with a question before the speaker finished.	interject that / interject a remark	interrupt	continue	interjection (n)	Often neutral; does not necessarily imply disagreement.
Week 1	prescribed	Core	verb	to officially order or set as a rule; to recommend a treatment	規定；開立（處方）	The regulations prescribed strict guidelines for data collection.	prescribed by / prescribed treatment	mandated	prohibited	prescription (n)	Not limited to medicine; often means formally required.
Week 1	succumb	Common	verb	to give in to pressure, temptation, or illness	屈服；不敵	The company eventually succumbed to financial pressures.	succumb to	yield	resist	succumbed (adj form not common)	Often implies inability to resist external forces.
Week 1	prevail	Core	verb	to prove more powerful or successful	佔上風；盛行	Despite criticism, the traditional view continued to prevail.	prevail over / prevail in	dominate	fail	prevailing (adj)	Signals dominance or ultimate outcome.
Week 1	diverge	Core	verb	to move or develop in different directions	分歧；分開	The researchers’ conclusions diverge significantly from earlier studies.	diverge from	separate	converge	divergence (n)	Often used to compare differing viewpoints or trends.
Week 1	intersect	Common	verb	to cross or overlap	相交；交會	The two disciplines intersect in their approach to data analysis.	intersect with	cross	separate	intersection (n)	Can be literal or figurative; often refers to overlapping ideas.
Week 1	assert	Core	verb	to state a claim confidently	主張；斷言	The author asserts that social change requires collective action.	assert that / assert a claim	claim	prove	assertion (n)	Does not mean prove; it introduces a position or claim.
Week 1	deceptive	Common	adjective	giving a misleading impression	具有欺騙性的；誤導性的	The results may appear straightforward but are actually deceptive.	deceptive appearance / deceptively simple	misleading	honest	deception (n)	Often means misleading rather than intentionally dishonest.
Week 1	innocuous	Common	adjective	not harmful or offensive	無害的；不冒犯的	The comment seemed innocuous but carried subtle implications.	innocuous remark / innocuous substance	harmless	dangerous	innocuously (adv)	Often contrasts with something more serious or harmful.
Week 1	benign	Core	adjective	harmless or not likely to cause damage	無害的；良性的	The tumor was determined to be benign and required no further treatment.	benign condition / benign neglect	harmless	malignant	benignly (adv)	Does not mean good; it means not harmful or not dangerous.
